iter	Logloss
0	0.6919815647
1	0.6901355953
2	0.6891695477
3	0.6868827036
4	0.6853888291
5	0.6840073318
6	0.682800956
7	0.6810569419
8	0.6796879271
9	0.6781741206
10	0.6763696067
11	0.6744060976
12	0.6728027281
13	0.6715858863
14	0.6699194996
15	0.6679497657
16	0.6670020591
17	0.6657874799
18	0.6647793242
19	0.6635368198
20	0.6624183777
21	0.6616762115
22	0.6608054467
23	0.6591377218
24	0.6584109307
25	0.6573310268
26	0.6557386606
27	0.6547453833
28	0.6535932901
29	0.6521603893
30	0.6502498423
31	0.6493657083
32	0.6473865464
33	0.6453266962
34	0.644265227
35	0.6429790576
36	0.641928906
37	0.6401772795
38	0.6387776241
39	0.6379141143
40	0.6368994624
41	0.6353380462
42	0.6343789894
43	0.6333347828
44	0.6314748619
45	0.6301439825
46	0.6289336938
47	0.6273511289
48	0.6263646424
49	0.6245098648
50	0.6234554733
51	0.6225225156
52	0.6214697448
53	0.6205764947
54	0.619863153
55	0.6187434003
56	0.6174504576
57	0.6168279901
58	0.6156197299
59	0.6144921307
60	0.6132453667
