iter	Passed	Remaining
0	57	57881
1	59	29882
2	61	20442
3	63	15709
4	64	12881
5	66	10966
6	67	9593
7	68	8555
8	70	7762
9	71	7120
10	73	6605
11	75	6177
12	76	5801
13	77	5481
14	79	5203
15	81	5003
16	83	4805
17	84	4612
18	85	4435
19	87	4277
20	88	4136
21	90	4011
22	91	3891
23	92	3781
24	94	3681
25	95	3591
26	97	3510
27	98	3430
28	100	3354
29	101	3282
30	102	3218
31	104	3155
32	105	3104
33	107	3052
34	108	2999
35	110	2951
36	111	2904
37	112	2859
38	114	2820
39	115	2783
40	117	2745
41	118	2710
42	120	2676
43	121	2647
44	123	2615
45	124	2583
46	125	2553
47	127	2523
48	128	2496
49	130	2472
50	131	2450
51	133	2431
52	134	2412
53	136	2390
54	137	2369
55	139	2348
56	140	2328
57	142	2310
58	143	2295
59	145	2278
60	146	2260
