iter	RMSE
0	0.7162558879
1	0.7145163733
2	0.7132487227
3	0.7117594859
4	0.7109491662
5	0.7100405992
6	0.7087884349
7	0.7076280938
8	0.7063384375
9	0.7049399557
10	0.7042263975
11	0.7027934902
12	0.7013886177
13	0.7000457404
14	0.6991187992
15	0.6979356024
16	0.6966006609
17	0.6954153671
18	0.6933004856
19	0.6920990214
20	0.6904191333
21	0.6892573256
22	0.6881154147
23	0.6865286601
24	0.6845492467
25	0.6826070166
26	0.6815294994
27	0.6802459271
28	0.6786210857
29	0.6768532401
30	0.675451259
31	0.6738785454
32	0.6717835554
33	0.6702507786
34	0.6693823007
35	0.6689399792
36	0.6679188456
37	0.6664214982
38	0.6646218314
39	0.6635263459
40	0.6621363171
41	0.6611753682
42	0.6595287591
43	0.6588298165
44	0.6579254085
45	0.6566399799
46	0.6554911505
47	0.6549255078
48	0.6542300743
49	0.6526007137
50	0.6512369846
51	0.6503919528
52	0.6501646707
53	0.6488578415
54	0.6480895504
55	0.6469234782
56	0.6462814887
57	0.6450805754
58	0.6435085837
59	0.6422244881
60	0.6414387725
61	0.6406381986
62	0.6392667633
63	0.6380133777
64	0.6369502605
65	0.6366032336
66	0.6346051696
67	0.6339918304
68	0.6332153016
69	0.6326498914
70	0.6317533238
71	0.6306326493
72	0.629123777
73	0.6272902892
74	0.6261064573
75	0.6246773301
76	0.6227348321
77	0.6223801251
78	0.6212614342
79	0.619916449
80	0.6185262148
81	0.6176277914
82	0.6170275695
83	0.6157163171
84	0.6145585199
85	0.6137708245
86	0.6133127258
87	0.6119215147
88	0.6117580198
89	0.6105760479
90	0.6098170871
91	0.6086652462
92	0.6079781735
93	0.6067542193
94	0.6052918327
95	0.604446682
96	0.6033362225
97	0.6027565499
98	0.6020061883
99	0.6008344701
100	0.6002174352
101	0.5996695809
102	0.5991446774
103	0.5982952662
104	0.5968952988
105	0.5960257851
106	0.5950037206
107	0.5937016434
108	0.592134655
109	0.5916502274
110	0.5906797113
111	0.5897167506
112	0.5881798517
113	0.5875228499
114	0.5861584038
115	0.5855126692
116	0.5844501759
117	0.5829832643
118	0.5815598499
119	0.5804786117
120	0.5797535622
121	0.5782348007
122	0.5772384214
123	0.5766393504
124	0.5758507543
125	0.5753884122
126	0.5741135665
127	0.573274304
128	0.5723280574
129	0.5714577243
130	0.5703325476
131	0.5691344795
132	0.568326936
133	0.5677976988
134	0.5666248854
135	0.5661948328
136	0.5653704655
137	0.5640879084
138	0.5627442502
139	0.5620157013
140	0.5610696659
141	0.5600619724
142	0.5589139537
143	0.5575092377
144	0.5562053425
145	0.5557460637
146	0.5547616618
147	0.5541395165
148	0.5536813289
149	0.5530327437
150	0.5525936923
151	0.5520558891
152	0.5514384147
153	0.550069075
154	0.5494408375
155	0.5488733102
156	0.5475499447
157	0.5468957338
158	0.5454740604
159	0.5444540282
160	0.5435318712
161	0.5430411494
162	0.5414803685
163	0.5408405753
164	0.5406018059
165	0.5392640586
166	0.5379845239
167	0.5368872718
168	0.5359895276
169	0.5357849901
170	0.5351351134
171	0.5346665299
172	0.5337640833
173	0.5327029651
174	0.5320843947
175	0.5319464773
176	0.5314677286
177	0.5305552376
178	0.5293667072
179	0.5286644589
180	0.5283893488
181	0.527370964
182	0.5265968061
183	0.5261633057
184	0.5253108626
185	0.5241118224
186	0.5236462387
187	0.5219829194
188	0.5214842537
189	0.5202158825
190	0.5193799061
191	0.5190901463
192	0.5187198853
193	0.5178808285
194	0.5166095223
195	0.5160852031
196	0.5153355936
197	0.5146253858
198	0.5139353484
199	0.5132659217
200	0.5127561791
201	0.5108323446
202	0.5096177972
203	0.5084548326
204	0.5068698849
205	0.5059486884
206	0.5047092585
207	0.5044703368
208	0.5028290378
209	0.5012388165
210	0.500614244
211	0.4998083721
212	0.4984300233
213	0.4983490959
214	0.4977530355
215	0.4969546286
216	0.4968657912
217	0.4953373229
218	0.4947784618
219	0.4943447439
220	0.4927695193
221	0.4918145498
222	0.4912160789
223	0.4898643778
224	0.4889032218
225	0.4878297293
226	0.4869563836
227	0.4853891434
228	0.4843786439
229	0.4828934944
230	0.4816137198
231	0.480355963
232	0.4797564012
233	0.4791858869
234	0.4778381639
235	0.4771518349
236	0.4764318278
237	0.4757497056
238	0.4744055663
239	0.4731870153
240	0.4716576107
241	0.4706298906
242	0.4705034833
243	0.4695821532
244	0.4688596173
245	0.4682220924
246	0.467166726
247	0.4666334516
248	0.4659355942
249	0.4652821128
250	0.4651954803
251	0.4646984448
252	0.4639884105
253	0.4631509095
254	0.4623345901
255	0.4613365248
256	0.4609814507
257	0.4594172829
258	0.4584896007
259	0.4573863207
260	0.4562942031
261	0.4556869175
262	0.4548151881
263	0.4540541337
264	0.4532221118
265	0.4522962784
266	0.451697112
267	0.4503911535
268	0.4493806135
269	0.44854789
270	0.4483252876
271	0.4475644677
272	0.4467446755
273	0.4463947095
274	0.4455739977
275	0.444372252
276	0.4437684733
277	0.443156247
278	0.4425155806
279	0.4417489002
280	0.441047089
281	0.4405065678
282	0.4404325548
283	0.4395562264
284	0.4385943725
285	0.4379390326
286	0.4374490491
287	0.4366624736
288	0.4359380933
289	0.4349534025
290	0.43413454
291	0.4334854223
292	0.4329600701
293	0.4323881864
294	0.4317041648
295	0.4308169755
296	0.4301834407
297	0.4291423992
298	0.4290108093
299	0.428661465
300	0.4280296827
301	0.4279167087
302	0.4274772184
303	0.4257040384
304	0.424808976
305	0.4239014634
306	0.423294674
307	0.4224242897
308	0.4215128527
309	0.4206677019
310	0.420109083
311	0.4194626965
312	0.4191904596
313	0.4185086966
314	0.4176406794
315	0.4173085402
316	0.4163270464
317	0.4156030807
318	0.4152181073
319	0.414641306
320	0.4141664349
321	0.4133946589
322	0.4129404777
323	0.4124161554
