iter	Passed	Remaining
0	57	57845
1	58	29075
2	58	19482
3	59	14706
4	59	11815
5	59	9893
6	60	8521
7	60	7490
8	60	6689
9	61	6048
10	61	5526
11	61	5089
12	62	4719
13	62	4403
14	62	4128
15	63	3888
16	63	3675
17	63	3486
18	64	3317
19	64	3163
20	64	3025
21	65	2899
22	65	2785
23	65	2683
24	66	2586
25	66	2496
26	66	2413
27	67	2336
28	67	2264
29	67	2197
30	68	2134
31	68	2076
32	68	2020
33	69	1968
34	69	1919
35	69	1873
36	70	1829
37	70	1787
38	70	1748
39	71	1711
40	71	1675
41	71	1641
42	72	1609
43	72	1578
44	73	1549
45	73	1520
46	73	1493
47	73	1467
48	74	1442
49	74	1418
50	74	1395
51	75	1372
52	75	1351
53	75	1331
54	76	1311
55	76	1292
56	76	1273
57	77	1255
58	77	1239
59	78	1222
60	78	1206
61	78	1189
62	79	1177
63	79	1163
64	80	1152
65	80	1139
66	80	1127
67	81	1114
68	81	1101
69	81	1088
70	82	1076
71	82	1064
72	82	1053
73	83	1042
74	83	1031
75	83	1020
76	84	1009
77	84	999
78	84	989
79	85	980
80	85	970
81	85	961
82	86	952
