iter	Passed	Remaining
0	57	5683
1	57	2825
2	57	1872
3	58	1395
4	58	1109
5	58	918
6	58	780
7	58	677
8	59	597
9	59	533
10	59	481
11	59	439
12	60	402
13	60	371
14	60	344
15	61	322
16	61	301
17	62	282
18	62	265
19	62	249
20	62	235
21	63	223
22	63	212
23	63	201
24	63	191
25	63	182
26	64	173
27	64	165
28	64	157
29	64	150
30	64	144
31	65	138
32	65	132
33	65	126
34	65	121
35	65	117
36	66	112
37	66	108
38	66	103
39	66	99
40	66	96
41	66	92
42	67	88
43	67	85
44	67	82
45	67	79
46	67	76
47	68	73
48	68	71
49	68	68
50	68	65
51	68	63
52	68	61
53	69	58
54	69	56
55	69	54
56	69	52
57	69	50
58	70	48
59	70	46
60	70	45
61	70	43
62	70	41
63	70	39
64	71	38
65	71	36
66	71	35
67	71	33
68	71	32
69	71	30
70	72	29
71	72	28
72	72	26
73	72	25
74	72	24
75	72	23
76	73	21
77	73	20
78	73	19
79	73	18
80	73	17
81	73	16
82	74	15
83	74	14
84	74	13
85	74	12
86	74	11
87	75	10
88	75	9
89	75	8
90	75	7
91	75	6
92	76	5
93	76	4
94	76	4
95	76	3
96	76	2
97	76	1
98	77	0
99	77	0
